2025-05-01 12:26:59.811 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analysis complete. Category: promotional
2025-05-01 12:26:59.811 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Applying label 'Promotions' to email 1968caadc60e8d73
2025-05-01 12:27:00.439 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Marking email 1968caadc60e8d73 as read
2025-05-01 12:27:00.952 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Completed processing email: Trump Media Reincorporates in Florida Following Annual Meeting
2025-05-01 12:27:00.952 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Processing email: 🔥 Storewide 15-25% Off – Don't Miss Out! 🌿
2025-05-01 12:27:00.952 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analyzing email: 🔥 Storewide 15-25% Off – Don't Miss Out! 🌿
2025-05-01 12:27:02.727 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analysis complete. Category: promotional
2025-05-01 12:27:02.728 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Applying label 'Promotions' to email 1968c431a497bb65
2025-05-01 12:27:03.309 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Marking email 1968c431a497bb65 as read
2025-05-01 12:27:03.776 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Completed processing email: 🔥 Storewide 15-25% Off – Don't Miss Out! 🌿
2025-05-01 12:27:03.778 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Processing email: Get more offers, earn more money.
2025-05-01 12:27:03.778 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analyzing email: Get more offers, earn more money.
2025-05-01 12:27:04.893 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analysis complete. Category: promotional
2025-05-01 12:27:04.894 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Applying label 'Promotions' to email 1968c28a45143587
2025-05-01 12:27:05.474 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Marking email 1968c28a45143587 as read
2025-05-01 12:27:05.877 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Completed processing email: Get more offers, earn more money.
2025-05-01 12:27:05.877 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Processing email: POV: You Saw May Perks ✨
2025-05-01 12:27:05.877 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analyzing email: POV: You Saw May Perks ✨
2025-05-01 12:27:07.157 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analysis complete. Category: promotional
2025-05-01 12:27:07.158 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Applying label 'Promotions' to email 1968c287388572be
2025-05-01 12:27:07.971 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Marking email 1968c287388572be as read
2025-05-01 12:27:08.494 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Completed processing email: POV: You Saw May Perks ✨
2025-05-01 12:27:08.495 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Processing email: ENDS TODAY: Up to 30 percent off base fares.
2025-05-01 12:27:08.495 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analyzing email: ENDS TODAY: Up to 30 percent off base fares.
2025-05-01 12:27:09.863 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analysis complete. Category: promotional
2025-05-01 12:27:09.863 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Applying label 'Promotions' to email 1968c0cb8eb626b1
2025-05-01 12:27:10.591 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Marking email 1968c0cb8eb626b1 as read
2025-05-01 12:27:11.015 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Completed processing email: ENDS TODAY: Up to 30 percent off base fares.
2025-05-01 12:27:11.016 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Processing email: [Save 20%] Your contacts are ready to ship
2025-05-01 12:27:11.016 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analyzing email: [Save 20%] Your contacts are ready to ship
2025-05-01 12:27:11.781 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analysis complete. Category: promotional
2025-05-01 12:27:11.782 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Applying label 'Promotions' to email 1968c09004eedc03
2025-05-01 12:27:12.420 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Marking email 1968c09004eedc03 as read
2025-05-01 12:27:12.836 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Completed processing email: [Save 20%] Your contacts are ready to ship
2025-05-01 12:27:12.836 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Processing email: Hurry! Spring Sale ends soon.
2025-05-01 12:27:12.836 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analyzing email: Hurry! Spring Sale ends soon.
2025-05-01 12:27:14.266 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analysis complete. Category: promotional
2025-05-01 12:27:14.266 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Applying label 'Promotions' to email 1968bfba0b1c45f7
2025-05-01 12:27:14.851 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Marking email 1968bfba0b1c45f7 as read
2025-05-01 12:27:15.447 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Completed processing email: Hurry! Spring Sale ends soon.
2025-05-01 12:27:15.447 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Processing email: 👀Use this 72-hour rule before your next application (TODAY)
2025-05-01 12:27:15.447 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analyzing email: 👀Use this 72-hour rule before your next application (TODAY)
2025-05-01 12:27:16.883 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analysis complete. Category: promotional
2025-05-01 12:27:16.884 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Applying label 'Promotions' to email 1968befb0d91162a
2025-05-01 12:27:17.514 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Marking email 1968befb0d91162a as read
2025-05-01 12:27:17.931 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Completed processing email: 👀Use this 72-hour rule before your next application (TODAY)
2025-05-01 12:27:17.931 | INFO     | __main__:main:51 - Processed 10 emails
2025-05-01 12:30:47.787 | INFO     | __main__:main:44 - Starting email processing with batch size: 10
2025-05-01 12:30:47.788 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Starting email processing with batch size: 10
2025-05-01 12:30:50.478 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Processing email: My Autotrader Alerts: We found 2 more vehicles for you
2025-05-01 12:30:50.478 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analyzing email: My Autotrader Alerts: We found 2 more vehicles for you
2025-05-01 12:30:51.737 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analysis complete. Category: shopping
2025-05-01 12:30:51.738 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Applying label 'Shopping' to email 1968ba3f214d21a7
2025-05-01 12:30:52.770 | INFO     | agents.base_agent:log:36 - [EmailSorterAgent] Marking email 1968ba3f214d21a7 as read
2025-05-01 12:30:53.173 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Completed processing email: My Autotrader Alerts: We found 2 more vehicles for you
2025-05-01 12:30:53.173 | INFO     | agents.base_agent:log:36 - [CoordinatorAgent] Processing email: You've Been Matched! $5,000 Scholarship Opportunity
2025-05-01 12:30:53.173 | INFO     | agents.base_agent:log:36 - [EmailAnalyzerAgent] Analyzing email: You've Been Matched! $5,000 Scholarship Opportunity
